station_id,name,short_name,latitude,longitude,capacity
823c0615-2832-4e76-85f0-7cf527151aba,Grand St & 14 St,HB506,40.75409,-74.0316,19
2200370074509315024,Bay St & Washington St,JC148,40.720216,-74.03656,30
2195267602732060282,Stegman St & Ocean Ave,JC147,40.7029,-74.08138,0
66dd58f2-0aca-11e7-82f6-3863bb44ef7c,Paulus Hook,JC002,40.7141454,-74.0335519,14
2058728861810389252,Newark St & Washington St,HB612,40.73681,-74.0309,22
cbc48689-7805-49dd-9669-5471f4b7b6fb,Hoboken Terminal - Hudson St & Hudson Pl,HB101,40.735937584463286,-74.030304551124573,24
af72ab76-c6cb-4994-af96-51fa8846ecdc,Bergen St & Saratoga Ave,4064.03,40.67423,-73.91656,20
8f1fdf4b-ecca-4f03-b04c-e10fe596e2c7,St Nicholas Ave & W 150 St,8013.07,40.827212,-73.942722,26
2127386600787000162,E 196 St & Valentine Ave,8635.09,40.86744,-73.89198,25
afc79a38-e26d-48f7-94e4-d0aca8fd1c49,57 St & 43 Ave,6158.06,40.74324,-73.908,20
9a40cb60-6ede-4c9e-9d64-dc55cae57f31,28 St & 41 Ave,6462.19,40.751047,-73.93797,27
2171904090179944948,Bainbridge Ave & E 211 St,8837.06,40.88206,-73.87808,20
e34bb92f-6911-449a-999b-5bc80e0322fe,Hancock St & Stuyvesant Ave,4383.06,40.68454,-73.9322,19
067d5007-bda5-4697-b0a2-ccc2837f295c,24 St & 38 Ave,6581.14,40.756351,-73.936515,19
2229057967489558016,Bruckner Blvd & Faile St,7944.12,40.820992,-73.889992,24
653ba606-f397-41e6-adc4-f775bf2d0c9f,Herkimer St & New York Ave,4172.04,40.67955,-73.94709,25
1828968462257099768,32 Ave & 84 St,6636.04,40.75793,-73.88401,19
1828968082192898522,86 St & 37 Ave,6399.06,40.75,-73.88062,22
5b4a90b8-426d-4a40-a7ca-87e51d690883,W 113 St & Broadway,7713.01,40.805973,-73.964928,39
2158919319277979600,Mallory Ave & Roosevelt Ave,JC145,40.72203,-74.08596,14
1828967979464708718,87 St & Roosevelt Ave,6356.01,40.74825,-73.87936,23
576abdc1-986e-48b0-bde2-051a13d3ff59,39 St & Queens Blvd,6218.04,40.74431,-73.92601,21
00967b8f-1a4d-4131-a65a-17fa8ca89e28,41 Ave & 67 St,6225.03,40.74446,-73.89764,20
2177014969129222184,Henry Hudson Pkwy E & W 231 St,8838.06,40.88336,-73.91505,12
1851254360969534132,Benham St & Roosevelt Ave,6314.09,40.74841,-73.8751,24
85ba92ab-8d0a-4d17-9d07-0173e16d3b6d,Monroe St & Patchen Ave,4491.09,40.68814,-73.92693,20
4c3b6e25-b0c2-4a3f-b07e-cd60cd1b0ac0,Anthony Ave & E Tremont Ave,8356.04,40.848793,-73.903178,20
e5b2a7ce-d867-465b-8446-743e00617068,47 Ave & 48 St,6092.01,40.74086,-73.91708,20
1836581714456697424,93 St & Roosevelt Ave,6390.05,40.74888,-73.87368,24
